Type,RegionName,RegionId,Fias,OKATO
г,Кулебаки,213,a963a64c-29cf-4342-bdc7-d998017aa4cd,22427000000
г,Саров,214,be0210d1-1b58-49c1-8304-eb5ff5618fad,22503000000
г,Урюпинск,216,2e5879fc-35c2-4354-816b-f1fce74ece87,18425000000
г,Знаменск,220,54ecd5a8-83d9-4a85-ae2c-6fe6976ab716,12519000000
г,Салават,233,fc14353f-5a1d-4f22-94ea-b900bad9a9f1,80439000000
г,Воркута,234,e0bf9ea3-7cbf-4b13-95f1-32c3ee9b3ae5,87410000000
г,Адыгейск,548,ccdfd496-8108-4655-aadd-bd228747306d,79403000000
г,Агидель,764,8294b97c-7553-499e-8369-821d6eb0fdc7,80403000000
г,Кумертау,1212,48e38991-07fd-4aaa-b240-a7280e4a823f,80423000000
г.,Сибай,1357,d7825646-76f7-4322-a88c-42cc90cbd2b2,80443000000
г,Межгорье,1361,5fd3a551-8553-4571-bfc8-2bfb211686f5,80507000000
г,Северобайкальск,7057,c4ea4370-0720-40a3-9df6-dd8ccf354d15,81420000000
г,Карачаевск,10670,cb390fbd-3149-4ac9-b9fb-6af069d51b71,91405000000
г,Теберда,10676,2edbb310-a924-44a8-a6d0-c9b825214fcf,91405000000
г,Прохладный,11236,22973a33-7a1c-449d-9535-def88bd91ed3,83410000000
г,Баксан,11237,67851dfd-e142-451a-b6b1-ea5e9bc7f0c1,83403000000
г,Сортавала,11804,7fa96873-4865-4f14-99e4-78d118cdca8b,86410000017
г,Костомукша,11965,1925075b-8541-4075-97ea-edad0557626e,86406000000
г,Вуктыл,12923,f69a676b-8ede-4a19-80b6-6db85a12b5e1,87412000000
г,Сосногорск,13022,9a2569ae-14fb-43bb-b192-a4c29c463c28,87422000000
г,Печора,13056,e0ba898b-b813-4293-b817-510d586afd6e,87420000000
г,Инта,13301,1b136d3e-3bd6-440c-a3fd-23303143c440,87415000000
г,Волжск,14652,f183b079-b65f-4781-9b79-310ba29b724d,88405000000
г,Козьмодемьянск,14861,70f9ed24-8b25-4688-857f-a337710d4825,88415000000
г,Ковылкино,16305,53445e0f-9d61-4359-9f4f-4983ff7aec34,89410000000
г,Олекминск,17179,593f4fe2-d419-4eb1-86df-a0905f05799c,98241000000
